areacd,disability_3a-001,disability_3a-002
E02003965,20.7,79.3
E02003966,16.2,83.8
E02003967,19.8,80.2
E02003968,19.8,80.2
E02003969,24.1,75.9
E02003970,17.5,82.5
E02003971,17.5,82.5
E02003972,19.5,80.5
E02003973,25.8,74.2
E02003974,22.1,77.9
E02003975,18,82
E02003976,17.6,82.4
E02003977,18.6,81.4
E02003987,19.6,80.4
E02003989,18.5,81.5
E02003990,15.9,84.1
E02003991,16.6,83.4
E02003992,19.6,80.4
E02003993,15.7,84.3
E02003994,21.1,78.9
E02003995,21.9,78.1
E02003996,19,81
E02003997,21.9,78.1
E02003998,21.1,78.9
E02003999,16.2,83.8
E02004000,22.7,77.3
E02004001,24.1,75.9
E02004002,18.4,81.6
E02004003,21.3,78.7
E02004004,23.1,76.9
E02004005,21.5,78.5
E02004006,18.7,81.3
E02004007,20.7,79.3
E02004012,15.6,84.4
E02004015,18,82
E02004016,15.9,84.1
E02004021,16.9,83.1
E02004022,16.2,83.8
E02004026,20.2,79.8
E02004027,20.7,79.3
E02004028,17.4,82.6
