areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E02003965,77.6,15.7,6.7
E02003966,82.7,12.9,4.4
E02003967,78.4,15.4,6.1
E02003968,78.9,15,6.1
E02003969,74.6,17.2,8.3
E02003970,82.5,13.3,4.2
E02003971,82.5,13,4.4
E02003972,79.2,14.7,6.1
E02003973,73.4,18.1,8.5
E02003974,76.4,15.9,7.7
E02003975,81.5,13.8,4.7
E02003976,82.6,13.4,4.1
E02003977,81.8,13.1,5.1
E02003987,79.5,14.9,5.6
E02003989,80.5,14.1,5.4
E02003990,83,13.1,3.9
E02003991,82.7,12.5,4.8
E02003992,78.9,15.2,5.9
E02003993,83.9,12.2,3.9
E02003994,77.1,16.5,6.4
E02003995,77.2,14.8,8
E02003996,80.5,13.5,6
E02003997,76.3,15.6,8.1
E02003998,77.3,15.1,7.6
E02003999,83.3,12.2,4.4
E02004000,77,15.8,7.3
E02004001,73.7,18.8,7.5
E02004002,80.9,13.4,5.7
E02004003,76.7,16.1,7.2
E02004004,75.7,16,8.3
E02004005,77.5,15.4,7
E02004006,80.6,14.3,5
E02004007,77.5,15.5,7
E02004012,83.8,12.1,4.1
E02004015,82.4,13.4,4.2
E02004016,83.8,12.1,4
E02004021,83.3,12.4,4.3
E02004022,84.6,11.5,3.9
E02004026,80.7,13.4,6
E02004027,79.8,15.2,5.1
E02004028,83.1,12.5,4.4
