areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00139237,78.4,18.8,2.8
E00139238,80.8,14.2,5
E00139239,78.5,14.1,7.4
E00139240,76.5,19.7,3.8
E00139244,84.9,14.7,0.5
E00139245,72.4,17.1,10.5
E00139246,75.9,17.1,7
E00139247,83.3,13.8,2.9
E00139248,89.6,7.1,3.4
E00139255,79.4,16.7,3.9
E00139256,88.3,9.1,2.6
E00139257,84,10.7,5.3
E00139258,69.4,21.9,8.7
E00139259,81.7,12.2,6.1
E00139260,82,12.2,5.8
E00139261,72.3,22.8,5
E00139262,81.5,13,5.5
E00139263,79.4,15.8,4.9
E00139264,82.3,14.2,3.5
E00139265,81.4,15.7,2.9
E00139266,81.4,10.1,8.4
E00139267,74,20.6,5.4
E00139268,79.5,13.5,7
E00139288,75,18.8,6.2
E00139693,82.6,10,7.5
E00139706,80.9,13.6,5.5
E00139707,84.3,11.5,4.1
E00139708,84.6,11.8,3.6
