areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
E00128516,80.4,13.8,5.9
E00128568,87.7,9.6,2.7
E00128569,88.5,9.5,2
E00140296,89.9,10.1,0
E00140297,89.1,8.6,2.3
E00140304,75.4,19.3,5.3
E00140305,90.1,8.2,1.8
E00140306,87.6,10,2.4
E00140329,84,13.7,2.3
E00140330,81.9,12,6
E00140331,87.4,11.3,1.3
E00140332,86.9,11.4,1.7
E00140333,81.8,13.2,5
E00140334,83.7,11.5,4.9
E00140335,82.6,13.9,3.5
E00140336,85.8,11.4,2.8
E00140337,81.1,15.8,3.1
E00140340,85.3,11.5,3.3
E00140345,87.7,8.9,3.4
E00140347,81.8,14.2,4
E00140348,87.6,10.7,1.7
E00140349,85.3,11.7,3
E00140350,85.8,10.6,3.6
E00140351,80.1,18.3,1.6
E00140352,79.8,17.4,2.8
E00140353,80.2,17,2.8
E00140354,79,16,5
E00140355,86.7,10.4,2.9
E00140356,71.8,20.4,7.8
E00140357,64.4,20.7,14.9
E00140358,78.3,15.6,6.1
E00140359,84.2,10.7,5.2
E00140360,83.5,11.3,5.3
E00140361,83.5,11.3,5.2
E00140362,72.7,19,8.3
E00140363,83.2,12.7,4.1
E00140364,80.3,16.6,3.1
E00140365,84.4,12.2,3.3
E00189822,80.9,15.2,4
E00189867,80,15.9,4.1
