geography_code,number_of_cars_5a-000,number_of_cars_5a-001,number_of_cars_5a-002,number_of_cars_5a-003
E00136780,14.3,33.3,27,25.4
E00136781,9.7,35.1,35.7,19.5
E00136782,8.5,44.6,33.8,13.1
E00136783,23.2,44.4,23.9,8.5
E00136784,6,45.3,39.7,9.1
E00136785,1.2,40.7,35.8,22.2
E00136786,14.2,41.8,29.1,14.9
E00136787,8.3,45.8,36.7,9.2
E00136791,6.7,41.5,38.5,13.3
E00136792,8.1,44.4,30.6,16.9
E00136793,13.4,41,30.6,14.9
E00136813,5.5,44,33.9,16.5
E00136814,8,55.2,17.2,19.5
E00136815,9.2,26.2,43.1,21.5
E00136816,9,37.6,42.1,11.2
E00136817,6.4,37.4,33.3,22.8
E00136818,10.3,39.7,37.5,12.5
E00136822,5.3,38.6,36.8,19.3
E00137044,7.5,29.2,42.5,20.8
E00153723,13.4,54.5,28.6,3.6
E00153724,9.2,23.1,44.6,23.1
E00153725,18.9,44.6,24.3,12.2
E00153726,9.8,43.1,37.3,9.8
E00153727,19.2,47.4,21.8,11.5
E00153728,13.7,65.7,13.7,6.9
E00153729,15.4,48.1,24,12.5
E00153730,5.4,43.2,36.5,14.9
E00153731,25.6,48.8,17.4,8.1
E00153732,24.8,43.4,24.8,7.1
E00153733,11,47.1,25.7,16.2
E00153734,23.4,35.5,29,12.1
E00153735,8.5,54.6,26.9,10
E00153736,7.6,46.7,32.4,13.3
E00153737,15.1,40.4,33.1,11.4
E00153860,8.6,37.1,30,24.3
E00153862,9.8,33.3,38.2,18.6
E00153864,5.3,34.2,39.5,21.1
E00153867,3.9,29.1,35,32
E00153868,3.4,43.7,35.6,17.2
E00153869,8.1,45.9,29.7,16.2
E00153875,13.7,38.8,35.3,12.2
E00153876,5.5,40.9,39.8,13.8
E00153877,4.3,35.3,40.5,19.8
E00153916,6.3,43.7,36.5,13.5
E00153917,9.4,38.5,35,17.1
E00153918,9.2,42.9,27.7,20.2
E00153919,12.8,48.7,28.9,9.6
E00153920,14.2,52,29.1,4.7
E00153921,22.3,43,24.8,9.9
E00153922,22,49.2,21.2,7.6
E00153923,9.5,38.1,31.7,20.6
E00153924,22.2,47.9,18.8,11.1
E00153925,17.8,48.1,24,10.1
E00153926,21.7,51.2,23.3,3.9
E00153927,36.5,46,16.1,1.5
E00153928,13.9,40.9,30.4,14.8
E00153929,28.9,44.3,19.6,7.2
E00153930,7.9,44.9,40.9,6.3
E00153931,10.5,49.6,31.6,8.3
E00153932,17.7,42.3,31.4,8.6
E00153934,16.3,41.5,31.3,10.9
E00153935,9.4,43.6,43.6,3.4
E00153936,16,50.5,26.1,7.4
E00153937,26.2,38.4,26.8,8.5
E00153987,10.1,39.3,37.1,13.5
E00153989,11.3,51.3,28.8,8.8
E00153990,14.4,45.2,32.7,7.7
E00153991,10.4,43.5,33.9,12.2
E00153992,4.7,33.1,44.6,17.6
E00153994,8.8,29.2,41.6,20.4
E00154006,4.9,34.3,35.3,25.5
E00154007,8.9,38,32.9,20.3
E00154008,7.4,31.5,29.6,31.5
E00154009,11.4,49.5,26.7,12.4
E00154010,8.5,37.3,36.6,17.6
E00154011,1.1,40.2,40.2,18.5
E00154012,4.4,42.1,34.2,19.3
E00154014,4,29.1,46.7,20.1
E00154015,4.8,45.8,34.9,14.5
E00154016,13.8,41.4,32.2,12.5
E00154017,8.2,35.6,41.8,14.4
E00154046,13.2,42.1,28.1,16.5
E00154047,5.9,39.6,32.6,21.9
E00154048,17.3,40.7,32.7,9.3
E00154050,25.4,56.8,15.3,2.5
E00154051,12.6,35.3,38.7,13.4
E00154054,11.8,47.8,27.2,13.2
E00154055,24.7,46,24.1,5.2
E00154056,29.4,42,21,7.6
E00154057,12.1,54,26.6,7.3
E00154058,12.3,54.3,27.5,5.8
E00154059,5.1,39.1,31.9,23.9
E00154068,9,34.4,35.2,21.3
E00154069,11.7,38.7,32.8,16.8
E00154070,1.8,49.1,30.9,18.2
E00154071,1.8,45.5,40,12.7
E00154072,3.6,40.5,34.5,21.4
E00154073,8.4,36.4,38.3,16.9
E00154074,2,40,40,18
E00154075,2.4,36.1,39.8,21.7
E00154076,6.4,31,43.8,18.7
E00154077,3.3,36.9,34.4,25.4
E00154107,5.7,34.8,39.7,19.9
E00154108,3.5,32.2,40,24.3
E00154109,7.1,38.1,27.4,27.4
E00154110,10.8,50.8,30.8,7.7
E00154111,6.4,49.1,37.3,7.3
E00154112,10.1,36,37.4,16.5
E00154113,4.8,32.7,43.5,19
E00154114,7.9,47.2,30.7,14.2
E00154130,5.2,36.6,43,15.1
E00154131,6.3,38.9,36,18.9
E00154132,8.5,50.8,28.8,11.9
E00154133,7,42,33,18
E00154134,9.4,52,27.6,11
E00154135,11.3,36.6,31,21.1
E00154136,14.7,36.8,35.8,12.7
E00154137,9.6,37.2,36.2,17
E00154138,28.3,49.3,18.4,3.9
E00154139,30.5,43.3,20.6,5.7
E00154140,23,50.7,16.2,10.1
E00154141,24.5,52.2,19.5,3.8
E00154142,25.2,50.4,19.3,5
E00154143,30.6,50.4,14.9,4.1
E00154144,27.6,51.7,17.2,3.4
E00154145,23.2,53,14.6,9.2
E00154146,18.6,46.6,25.4,9.3
E00154147,28.2,54.6,12.1,5.2
E00154148,26.8,48.4,18.3,6.5
E00154149,15.3,48.2,24.8,11.7
E00154150,12.9,52.3,26.5,8.3
E00154151,11.1,44.4,31.6,12.8
E00154152,20,53.1,20,6.9
E00154153,24.2,54.5,16.7,4.5
E00154154,5.7,38.2,40.7,15.4
E00154155,16.8,38.2,32.8,12.2
E00154156,10.2,43.3,31.8,14.6
E00154157,17.3,51.2,22.8,8.7
E00154158,10.9,49.2,28.9,10.9
E00154159,24,40,27.2,8.8
E00154160,28.4,47.7,19.4,4.5
E00154161,30.3,46.2,17.6,5.9
E00154162,8.2,49.3,36.6,6
E00154163,14.8,53.3,26.2,5.7
E00154164,11.4,52,28.5,8.1
E00154165,7.1,51.2,32.3,9.4
E00154166,35.2,37.5,22.7,4.7
E00154167,15.2,49.5,22.9,12.4
E00154168,17.8,47.5,28,6.8
E00154169,15.4,55.4,21.5,7.7
E00154170,14.6,44.4,25.8,15.2
E00154171,14.8,50.8,27,7.4
E00154172,11.2,59,23.1,6.7
E00154173,12.3,42.5,27.4,17.8
E00154174,7.1,40.6,38.7,13.5
E00154175,16.4,44.8,29.1,9.7
E00154176,7.7,40.4,37.5,14.4
E00154177,1.2,37.2,40.7,20.9
E00154178,16,45.8,23.7,14.5
E00154179,3.9,52.9,19.6,23.5
E00154180,12.8,52.1,23.4,11.7
E00154181,5.9,34.9,36.2,23
E00154182,16.6,51,27.2,5.3
E00154183,28.9,47.1,17.4,6.6
E00154184,15.7,42.1,30.7,11.4
E00154185,12.5,44.7,34.9,7.9
E00154186,12.1,38.3,34.8,14.9
E00154187,13.8,36.6,37.2,12.4
E00154188,8.7,44.1,33.9,13.4
E00154189,16.8,54.7,20.4,8
E00154190,16.3,38.3,32.6,12.8
E00154191,20.8,45.8,26.7,6.7
E00154192,20.4,59.1,16.8,3.6
E00154193,12,46.4,28,13.6
E00154194,9,49.2,31.1,10.7
E00154195,21.5,40.7,31.1,6.7
E00154196,12,46.4,28.8,12.8
E00154197,21.6,45.9,28.4,4.1
E00154198,10.3,42.9,30.2,16.7
E00154199,25.4,35.2,33.6,5.7
E00154200,14.1,46.5,29.6,9.9
E00154201,10.7,59.3,22.9,7.1
E00154202,18.5,49.6,25.9,5.9
E00154203,5,29.8,40.5,24.8
E00154204,8.5,35.7,37.2,18.6
E00154205,8.7,46.8,33.3,11.1
E00154206,15.9,38.4,29.7,15.9
E00154207,11.8,40.2,34.6,13.4
E00154208,8.9,40,31.1,20
E00154209,13.4,41.8,32.1,12.7
E00154210,12.4,48.1,27.1,12.4
E00154211,15.2,48.8,28,8
E00154212,10.3,39.3,34.2,16.2
E00154213,5.2,41.5,35.6,17.8
E00154214,2.5,31.4,45.9,20.1
E00154216,9,45.9,36,9
E00154217,10.3,40.7,41.4,7.6
E00154218,11.4,54.5,26,8.1
E00154220,4.2,45,37.5,13.3
E00154221,11.5,41,41,6.6
E00154222,19,44.4,30.2,6.3
E00154223,8.3,30.6,43.8,17.4
E00154225,12.3,35.5,39.9,12.3
E00154226,7.2,44.2,32.6,15.9
E00154227,13.1,52.5,31.1,3.3
E00154228,5.2,39.6,36.6,18.7
E00154229,13.7,42.7,35,8.5
E00154230,2.9,27.8,50.2,19.1
E00154231,13.7,45.2,31.5,9.6
E00154232,19.7,43.6,31.6,5.1
E00154233,14.8,47.8,25.2,12.2
E00154234,19,49.5,26,5.5
E00154251,22.4,48.5,18.7,10.4
E00154252,16.5,51.8,25.9,5.8
E00154253,12.1,42.2,32.8,12.9
E00154254,28.2,46.2,20.5,5.1
E00154255,32.8,45.9,17.2,4.1
E00154256,10.9,46.2,32.8,10.1
E00154257,25.4,39.1,24.6,10.9
E00154258,15.4,43.1,27.6,13.8
E00154259,11.9,43.3,31.3,13.4
E00154260,10.2,51.1,25.8,12.9
E00154261,28.1,56.3,10.9,4.7
E00154262,5.6,50.4,29.6,14.4
E00154263,18.1,52.1,22.9,6.9
E00154264,15,57.5,21.7,5.8
E00154265,10.2,43.7,31.7,14.4
E00154266,21,52.9,20.3,5.8
E00154267,22.4,55.7,17.6,4.3
E00154268,47.3,41.2,10.1,1.4
E00154269,44.9,37.8,12.6,4.7
E00154270,46.9,42.2,8.6,2.3
E00154275,63.3,30.4,5.7,0.6
E00154278,45.1,43.1,9.7,2.1
E00154280,38,49.6,11.6,0.8
E00154281,33.3,41.7,20.5,4.5
E00154282,78,18,3.3,0.7
E00154283,33.3,49.1,12,5.6
E00154284,47.4,36,13.1,3.4
