areacd,health_in_general_4a-001,health_in_general_4a-002,health_in_general_4a-003
W00000005,77.6,16,6.4
W00000006,78.7,16.6,4.8
W00000008,72,20.6,7.4
W00000009,77.2,18.1,4.7
W00000010,76.5,17.3,6.2
W00000011,71.8,20.2,7.9
W00000012,75.9,18,6.1
W00000013,76.1,14.5,9.4
W00000084,70.3,18.8,10.9
W00000086,73.1,17.4,9.5
W00000087,74.9,20.6,4.6
W00000088,74.3,17.7,8
W00000090,72.1,16.9,11
W00000100,80.7,16.2,3.1
W00000101,79.7,15.8,4.5
W00000102,82.2,12.5,5.3
W00000103,69.3,23,7.8
W00000104,80.2,14.5,5.3
W00000105,79,15.8,5.2
W00000106,74.3,17.8,7.9
W00000107,82.5,13.7,3.8
W00000108,78.9,16.4,4.8
W00000111,80.1,12.5,7.4
W00000112,81.8,13.5,4.7
W00000138,77.2,15.8,7
W00000141,86,9.7,4.3
W00000142,81.2,13.2,5.6
W00000156,83.9,10.8,5.2
W00000157,79.8,14.9,5.2
W00000158,80.2,12.4,7.4
W00000159,85,11.5,3.5
W00000160,72.5,22.5,5.1
W00000161,79.2,16.9,3.9
W00000162,74.4,16.2,9.4
W00000163,82.1,13,4.9
W00000164,77.7,18.9,3.4
W00009977,73.4,16.7,9.9
W00009978,76.2,17.6,6.1
W00009979,77.1,18.6,4.3
W00009980,67.6,22.4,10
W00009981,75.3,17.7,6.9
